epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
24,632.617,0.18021,0.14059,0.18232,0.83902,0,0.99935,1,0.995,0.995,0.99935,1,0.995,0.99419,0.10495,0.09343,0.13388,0.69451,0,0.00429225,0.00143075,0.00429225,0.00143075,0.00429225,0.00143075,0.00429225,0.00143075
25,651.75,0.18444,0.14319,0.18114,0.83585,0,0.99932,1,0.995,0.995,0.99932,1,0.995,0.99414,0.10791,0.09425,0.14716,0.69584,0,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
26,669.823,0.16373,0.1303,0.16676,0.83925,0,0.99941,1,0.995,0.995,0.99941,1,0.995,0.99479,0.09867,0.09576,0.11279,0.69592,0,0.00414375,0.00138125,0.00414375,0.00138125,0.00414375,0.00138125,0.00414375,0.00138125
27,686.997,0.17697,0.13749,0.17597,0.83688,0,0.99939,1,0.995,0.995,0.99939,1,0.995,0.99475,0.11221,0.09433,0.11324,0.69608,0,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565
28,704.189,0.16438,0.13378,0.16143,0.83428,0,0.99938,1,0.995,0.995,0.99938,1,0.995,0.99449,0.10576,0.09344,0.10415,0.69496,0,0.00399525,0.00133175,0.00399525,0.00133175,0.00399525,0.00133175,0.00399525,0.00133175
29,721.276,0.17049,0.13036,0.17887,0.83658,0,0.99903,1,0.995,0.99427,0.99903,1,0.995,0.99427,0.11269,0.09215,0.11954,0.69599,0,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
30,738.51,0.1654,0.13731,0.17074,0.82847,0,0.99908,1,0.995,0.99448,0.99908,1,0.995,0.995,0.09686,0.0944,0.10244,0.69422,0,0.00384675,0.00128225,0.00384675,0.00128225,0.00384675,0.00128225,0.00384675,0.00128225
31,755.571,0.16865,0.14651,0.17328,0.84043,0,0.9994,1,0.995,0.995,0.9994,1,0.995,0.99428,0.0977,0.09338,0.10993,0.69364,0,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
32,772.824,0.17345,0.13501,0.18071,0.83986,0,0.99942,1,0.995,0.995,0.99942,1,0.995,0.99448,0.09115,0.09241,0.10397,0.69388,0,0.00369825,0.00123275,0.00369825,0.00123275,0.00369825,0.00123275,0.00369825,0.00123275
33,789.882,0.15632,0.13705,0.15652,0.83581,0,0.99938,1,0.995,0.995,0.99938,1,0.995,0.99458,0.08926,0.09118,0.09936,0.69274,0,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
34,807.012,0.15086,0.1226,0.15619,0.83392,0,0.99944,1,0.995,0.9948,0.99944,1,0.995,0.995,0.08915,0.09066,0.09718,0.69298,0,0.00354975,0.00118325,0.00354975,0.00118325,0.00354975,0.00118325,0.00354975,0.00118325
35,824.096,0.1512,0.12855,0.15594,0.8339,0,0.99939,1,0.995,0.99482,0.99939,1,0.995,0.995,0.09168,0.09135,0.09759,0.69248,0,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
36,841.228,0.15617,0.12586,0.15852,0.83587,0,0.99961,1,0.995,0.995,0.99961,1,0.995,0.995,0.09553,0.09214,0.1043,0.69142,0,0.00340125,0.00113375,0.00340125,0.00113375,0.00340125,0.00113375,0.00340125,0.00113375
37,858.546,0.16927,0.13182,0.16798,0.83703,0,0.99898,1,0.995,0.9948,0.99898,1,0.995,0.995,0.10961,0.09145,0.11007,0.6938,0,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
38,875.7,0.15987,0.13598,0.1625,0.83125,0,0.99929,1,0.995,0.99479,0.99929,1,0.995,0.995,0.09111,0.09061,0.09931,0.69118,0,0.00325275,0.00108425,0.00325275,0.00108425,0.00325275,0.00108425,0.00325275,0.00108425
39,892.747,0.155,0.12935,0.15216,0.84054,0,0.99937,1,0.995,0.99475,0.99937,1,0.995,0.995,0.09064,0.08978,0.11247,0.69276,0,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595
40,909.891,0.15637,0.14016,0.15975,0.8397,0,0.97662,1,0.99477,0.99477,0.97662,1,0.99477,0.99477,0.09972,0.09242,0.12048,0.69589,0,0.00310425,0.00103475,0.00310425,0.00103475,0.00310425,0.00103475,0.00310425,0.00103475
41,926.91,0.15797,0.13594,0.16681,0.83497,0,0.99746,1,0.995,0.995,0.99746,1,0.995,0.995,0.10329,0.09099,0.13068,0.69849,0,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
42,944.084,0.15267,0.12651,0.16001,0.83767,0,0.9994,1,0.995,0.995,0.9994,1,0.995,0.995,0.1027,0.09139,0.11239,0.69442,0,0.00295575,0.00098525,0.00295575,0.00098525,0.00295575,0.00098525,0.00295575,0.00098525
43,961.206,0.14981,0.1454,0.15747,0.83292,0,0.99942,1,0.995,0.995,0.99942,1,0.995,0.995,0.10428,0.09075,0.1094,0.69514,0,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605
44,978.358,0.14279,0.13078,0.15098,0.82794,0,0.99942,1,0.995,0.995,0.99942,1,0.995,0.995,0.09169,0.09008,0.10204,0.69154,0,0.00280725,0.00093575,0.00280725,0.00093575,0.00280725,0.00093575,0.00280725,0.00093575
45,995.552,0.15145,0.13465,0.15607,0.83849,0,1,0.99979,0.995,0.995,1,0.99979,0.995,0.995,0.09491,0.09033,0.11187,0.6905,0,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
